Src,Dst,Packets,Bytes,Duration_sec
10.0.0.1,10.46.42.1,924,2463728,33
10.46.42.1,10.0.0.1,2,132,33
10.46.42.1,10.0.0.1,797,54210,33
10.0.0.1,10.123.123.123,1128,2987000,26
10.123.123.123,10.0.0.1,2,132,26
10.123.123.123,10.0.0.1,1009,69102,26
10.0.0.4,10.123.123.123,1230,3255876,18
10.123.123.123,10.0.0.4,2,132,18
10.123.123.123,10.0.0.4,1095,76462,18
10.0.0.2,10.46.42.1,1121,3001026,10
10.46.42.1,10.0.0.2,3,206,10
10.46.42.1,10.0.0.2,1011,68674,8
10.0.0.4,10.46.42.1,348,932320,1
10.46.42.1,10.0.0.4,2,132,1
10.46.42.1,10.0.0.4,328,22368,1
N/A,N/A,33,1866,34
