01:06:37,1234178
01:06:38,2486062
01:06:47,8122280
01:06:48,13697166
01:06:57,22605426
01:06:58,31615478
01:07:07,44684024
01:07:08,57617390
01:07:18,75960540
01:07:18,94120696
01:07:28,116089656
01:07:29,137837910
01:07:38,164512040
01:07:39,190914784
01:07:48,221366222
01:07:49,251521934
01:07:58,286495602
01:07:59,321129906
01:08:08,359610728
01:08:09,397708486
01:08:18,439596788
01:08:19,481070038
01:08:28,527542344
01:08:29,573565092
01:08:38,623669040
01:08:39,673287110
01:08:48,728671400
01:08:49,783514638
01:08:58,843556970
01:08:59,903015164
01:09:08,967989070
01:09:09,1032339976
01:09:18,1101623748
01:09:19,1170246216
01:09:28,1243065708
01:09:29,1315202410
01:09:38,1393675062
01:09:39,1471422794
01:09:48,1552562550
01:09:49,1632957192
01:09:58,1714096948
01:09:59,1794491590
